f09f8eaf;dart
f09f98a5;disappointed_relieved
f09f989e;disappointed
f09f98b5;dizzy_face
f09f92ab;dizzy
f09f9aaf;do_not_litter
f09f9095;dog2
f09f90b6;dog
f09f90ac;dolphin
f09f90ac;flipper
f09f9aaa;door
e29ebf00;loop
e280bc00;bangbang
e28fb800;double_vertical_bar
f09f8da9;doughnut
f09f958a;dove_of_peace
f09f94bb;small_red_triangle_down
f09f94bd;arrow_down_small
e2ac8700;arrow_down
f09f9089;dragon
f09f90b2;dragon_face
f09f9197;dress
f09f90aa;dromedary_camel
f09f92a7;droplet
f09f9380;dvd
f09f93a7;e__mail
f09f9182;ear
f09f8cbd;corn
f09f8cbe;ear_of_rice
f09f8c8e;earth_americas
f09f8c8f;earth_asia
f09f8c8d;earth_africa
e29cb400;eight_pointed_black_star
e29cb300;eight_spoked_asterisk
e28f8f00;eject_symbol
f09f92a1;bulb
f09f948c;electric_plug
f09f94a6;flashlight
f09f9098;elephant
f09f8fbb;emoji_modifier_fitzpatrick_type__1__2
f09f8fbc;emoji_modifier_fitzpatrick_type__3
f09f8fbd;emoji_modifier_fitzpatrick_type__4
f09f8fbe;emoji_modifier_fitzpatrick_type__5
f09f8fbf;emoji_modifier_fitzpatrick_type__6
f09f949a;end
e29c8900;email
e29c8900;envelope
f09f93a9;envelope_with_arrow
f09f8fb0;european_castle
f09f8fa4;european_post_office
f09f8cb2;evergreen_tree
e2818900;interrobang
f09f9891;expressionless
f09f91bd;alien
f09f9181;eye
f09f9193;eyeglasses
f09f9180;eyes
f09f9286;massage
f09f988b;yum
f09f98b1;scream
f09f9898;kissing_heart
f09f9893;sweat
f09fa495;face_with_head__bandage
f09f98a4;triumph
f09f98b7;mask
f09f9985;no_good
f09f9986;ok_woman
f09f98ae;open_mouth
f09f98b0;cold_sweat
f09f9984;face_with_rolling_eyes
f09f989b;stuck_out_tongue
f09f989d;stuck_out_tongue_closed_eyes
f09f989c;stuck_out_tongue_winking_eye
f09f9882;joy
f09fa492;face_with_thermometer
f09f98b6;no_mouth
f09f8fad;factory
f09f8d82;fallen_leaf
f09f91aa;family
f09f8e85;santa
f09f93a0;fax
f09f98a8;fearful
f09f8ea1;ferris_wheel
e29bb400;ferry
f09f8f91;field_hockey_stick_and_ball
f09f9784;file_cabinet
f09f9381;file_folder
f09f8e9e;film_frames
f09f93bd;film_projector
f09f94a5;fire
f09f9a92;fire_engine
f09f8e87;sparkler
f09f8e86;fireworks
f09f8c93;first_quarter_moon
f09f8c9b;first_quarter_moon_with_face
f09f909f;fish
